date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:58	121/121	---M-Z	200	added ('OK')	text/plain	etag:%222-1705718098;gz%22	https://freemagazineszone.online/robots.txt		(from )
12:28:00	8684/8684	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Jan%202024%2020:28:02%20GMT	https://freemagazineszone.online/dice5/	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/index.html	(from )
12:28:03	121260/121260	---MCZ	200	added ('OK')	text/css	etag:W/%222f624089c65f12185e79925bc5a7fc42%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	C:/My%20Web%20Sites/7777/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	(from https://freemagazineszone.online/dice5/)
12:28:03	11891/11891	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202024%2020:28:07%20GMT	https://kit.fontawesome.com/04fd5ece3f.js	C:/My%20Web%20Sites/7777/kit.fontawesome.com/04fd5ece3f.js	(from https://freemagazineszone.online/dice5/)
12:28:04	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/7777/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://freemagazineszone.online/dice5/)
12:28:10	8328/8328	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Dec%202023%2018:32:14%20GMT	https://freemagazineszone.online/dice5/css/magnific-popup.css	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/css/magnific-popup.css	(from https://freemagazineszone.online/dice5/)
12:28:10	10550/10550	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Dec%202023%2018:32:14%20GMT	https://freemagazineszone.online/dice5/css/style.css	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/css/style.css	(from https://freemagazineszone.online/dice5/)
12:28:14	106911/106911	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Dec%202023%2018:32:14%20GMT	https://freemagazineszone.online/dice5/img/logo.png	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/img/logo.png	(from https://freemagazineszone.online/dice5/)
12:28:18	16114/16114	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Dec%202023%2018:32:14%20GMT	https://freemagazineszone.online/dice5/img/menu.png	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/img/menu.png	(from https://freemagazineszone.online/dice5/)
12:28:20	35966/35966	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Dec%202023%2018:32:14%20GMT	https://freemagazineszone.online/dice5/img/11.png	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/img/11.png	(from https://freemagazineszone.online/dice5/)
12:28:23	41504/41504	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Dec%202023%2018:32:14%20GMT	https://freemagazineszone.online/dice5/img/33.png	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/img/33.png	(from https://freemagazineszone.online/dice5/)
12:28:26	40800/40800	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Dec%202023%2018:32:14%20GMT	https://freemagazineszone.online/dice5/img/22.png	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/img/22.png	(from https://freemagazineszone.online/dice5/)
12:30:34	47746/47746	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Dec%202023%2018:32:14%20GMT	https://freemagazineszone.online/dice5/img/2.png	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/img/2.png	(from https://freemagazineszone.online/dice5/)
12:30:34	49457/49457	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Dec%202023%2018:32:14%20GMT	https://freemagazineszone.online/dice5/img/3.png	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/img/3.png	(from https://freemagazineszone.online/dice5/)
12:30:36	27467/27467	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jan%202024%2020:30:39%20GMT	https://freemagazineszone.online/dice5/img/locker-img.PNG	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/img/locker-img.PNG	(from https://freemagazineszone.online/dice5/)
12:30:36	45833/45833	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Dec%202023%2018:32:14%20GMT	https://freemagazineszone.online/dice5/img/1.png	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/img/1.png	(from https://freemagazineszone.online/dice5/)
12:30:39	21146/21146	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2008%20Dec%202023%2018:32:14%20GMT	https://freemagazineszone.online/dice5/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/7777/freemagazineszone.online/dice5/js/jquery.magnific-popup.min.js	(from https://freemagazineszone.online/dice5/)
12:30:40	36868/36868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c5b5b2fa19bd66ff23211d9f844e0131%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	C:/My%20Web%20Sites/7777/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	(from https://freemagazineszone.online/dice5/)
12:30:41	2022/2022	---M-Z	200	added ('OK')	application/javascript	etag:W/%227e6-kTeSoDooM16/81/wbwNxJTysS+I%22	https://cdn.jsdelivr.net/npm/js-cookie@2.2.0/src/js.cookie.min.js	C:/My%20Web%20Sites/7777/cdn.jsdelivr.net/npm/js-cookie@2.2.0/src/js.cookie.min.js	(from https://freemagazineszone.online/dice5/)
12:30:41	282766/282766	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-4508e%22	http://code.jquery.com/jquery.js	C:/My%20Web%20Sites/7777/code.jquery.com/jquery.js	(from https://freemagazineszone.online/dice5/)
